Element,AtomicVolume,AtomicWeight,BoilingTemp,BulkModulus,Column,CovalentRadius,Density,ElectronAffinity,Electronegativity,FirstIonizationEnergy,FusionEnthalpy,FusionHeat,GSbandgap,GSenergy_pa,GSestBCClatcnt,GSestFCClatcnt,GSmagmom,GSvolume_pa,HHIp,HHIr,HeatCapacityMass,HeatCapacityMolar,HeatFusion,ICSDVolume,IsAlkali,IsDBlock,IsFBlock,IsMetal,IsMetalloid,IsNonmetal,MeltingTemp,MendeleevNumber,MiracleRadius,NUnfilled,NValance,NdUnfilled,NdValence,NeutronCrossSection,NfUnfilled,NfValence,NpUnfilled,NpValence,NsUnfilled,NsValence,Number,Polarizability,Resistivity,Row,ShearModulus,SpaceGroupNumber,ThermalConductivity,Valence,VaporizationHeat,Wigner,ZungerPP-r_d,ZungerPP-r_p,ZungerPP-r_pi,ZungerPP-r_s,ZungerPP-r_sigma
Y,33.013213,88.90585,3618.0,41.0,3.0,190.0,4472.0,29.6,1.22,6.2173,11.39,11.4,0.0,-6.4646,4.015151,5.058773,0.0,32.365,9800.0,2600.0,0.298,26.53,11.39,32.97,0.0,1.0,0.0,1.0,0.0,0.0,1799.0,12.0,179.0,9.0,3.0,9.0,1.0,1.28,0.0,0.0,0.0,0.0,0.0,2.0,39.0,22.7,17.,5.0,26.0,194.0,17.0,3.0,380.0,1.21,0.58,1.62,0.3,1.32,2.94
Zr,23.265943,91.224,4682.0,,4.0,175.0,6511.0,41.1,1.33,6.6339,21.0,21.0,0.0,-8.545959,3.593145,4.527080000000001,0.0,23.195,3400.0,2600.0,0.278,25.36,21.0,23.29,0.0,1.0,0.0,1.0,0.0,0.0,2128.0,44.0,158.0,8.0,4.0,8.0,2.0,0.184,0.0,0.0,0.0,0.0,0.0,2.0,40.0,17.9,23.,5.0,33.0,194.0,23.0,4.0,580.0,1.41,0.54,1.56,0.295,1.265,2.825
Nb,18.002132999999997,92.90638,5017.0,170.0,5.0,164.0,8570.0,86.1,1.6,6.75885,30.0,26.8,0.0,-10.093322,3.312897,4.173989,0.0,18.18,8500.0,8800.0,0.265,24.6,30.0,18.15,0.0,1.0,0.0,1.0,0.0,0.0,2750.0,47.0,143.0,7.0,5.0,6.0,4.0,1.15,0.0,0.0,0.0,0.0,1.0,1.0,41.0,15.7,54.,5.0,38.0,229.0,54.0,5.0,690.0,1.64,0.51,1.53,0.3,1.23,2.76
Mo,15.500881,95.96,4912.0,230.0,6.0,154.0,10280.0,71.9,2.16,7.09243,37.48,36.0,0.0,-10.846108000000001,3.1541639999999997,3.9739980000000004,0.0,15.69,2400.0,5300.0,0.251,24.06,37.48,15.59,0.0,1.0,0.0,1.0,0.0,0.0,2896.0,50.0,139.0,6.0,6.0,5.0,5.0,2.6,0.0,0.0,0.0,0.0,1.0,1.0,42.0,12.8,139.,5.0,20.0,229.0,139.0,6.0,600.0,1.77,0.49,1.5,0.28,1.22,2.72
Tc,14.151012,98.0,4538.0,,7.0,147.0,11500.0,53.0,1.9,7.28,33.29,23.0,0.0,-10.355151,3.057056,3.8516489999999997,0.0,14.285,,,,,33.29,14.22,0.0,1.0,0.0,1.0,0.0,0.0,2430.0,53.0,136.0,5.0,7.0,5.0,5.0,22.0,0.0,0.0,0.0,0.0,0.0,2.0,43.0,11.4,51.,5.0,,194.0,51.0,6.0,550.0,1.81,0.455,1.49,0.33,1.16,2.65
Ru,13.567874,101.07,4423.0,220.0,8.0,146.0,12370.0,101.3,2.2,7.3605,38.59,25.7,0.0,-9.194633999999999,3.000741,3.780696,0.0,13.51,3200.0,8000.0,0.238,24.06,38.59,14.03,0.0,1.0,0.0,1.0,0.0,0.0,2607.0,56.0,134.0,4.0,8.0,3.0,7.0,2.6,0.0,0.0,0.0,0.0,1.0,1.0,44.0,9.6,120.,5.0,173.0,194.0,120.0,6.0,580.0,1.83,0.45,1.46,0.315,1.145,2.605
Rh,13.72551,102.9055,3968.0,380.0,9.0,142.0,12450.0,109.7,2.28,7.4589,26.59,21.7,0.0,-7.253646000000001,3.010335,3.7927839999999997,0.0,13.64,3200.0,8000.0,0.243,24.98,26.59,11.58,0.0,1.0,0.0,1.0,0.0,0.0,2237.0,59.0,132.0,3.0,9.0,2.0,8.0,145.0,0.0,0.0,0.0,0.0,1.0,1.0,45.0,8.6,150.,5.0,150.0,225.0,150.0,6.0,495.0,1.76,0.42,1.41,0.3,1.11,2.52
Pd,14.698386,106.42,3236.0,180.0,10.0,139.0,12023.0,53.7,2.2,8.3369,16.74,16.7,0.0,-5.137775,3.065947,3.862851,0.0,14.41,3200.0,8000.0,0.244,25.98,16.74,14.72,0.0,1.0,0.0,1.0,0.0,0.0,1828.05,62.0,142.0,0.0,10.0,0.0,10.0,6.9,0.0,0.0,0.0,0.0,0.0,0.0,46.0,4.8,71.,5.0,44.0,225.0,71.0,4.0,380.0,1.67,0.4,1.37,0.29,1.08,2.45
Ag,17.075648,107.8682,2435.0,100.0,11.0,145.0,10490.0,125.6,1.93,7.576230000000001,11.3,11.3,0.0,-2.7653939999999997,3.1964810000000003,4.0273129999999995,0.0,16.33,1200.0,1400.0,0.235,25.35,11.3,17.05,0.0,1.0,0.0,1.0,0.0,0.0,1234.93,65.0,144.0,1.0,11.0,0.0,10.0,63.6,0.0,0.0,0.0,0.0,1.0,1.0,47.0,6.99,430.,5.0,30.0,225.0,430.0,1.0,255.0,1.36,0.385,1.33,0.285,1.045,2.375
Cd,21.580025,112.411,1040.0,42.0,12.0,144.0,8650.0,0.0,1.69,8.99382,6.21,6.3,0.0,-0.812174,3.390922,4.272293,0.0,19.495,1700.0,1300.0,0.231,26.02,6.21,21.59,0.0,1.0,0.0,1.0,0.0,0.0,594.22,70.0,157.0,0.0,12.0,0.0,10.0,2450.0,0.0,0.0,0.0,0.0,0.0,2.0,48.0,7.32,96.,5.0,19.0,194.0,96.0,2.0,100.0,1.24,0.37,1.23,0.245,0.985,2.215
